Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,Bitcoin.com,F2Pool,GBMiners,SlushPool,Unknown,ViaBTC,others
2017-06-12 00:00:00 UTC,1.3587594992534693e+17,9.511316494774285e+17,5.435037997013877e+17,4.0762784977604077e+17,3.7365886229470406e+17,3.3968987481336736e+17,1.3587594992534693e+17,2.7175189985069386e+17,1.0190696244401019e+17,4.7556582473871424e+17,6.7937974962673464e+16,4.0762784977604077e+17,4.7556582473871424e+17,2.0381392488802038e+17,1.0190696244401019e+17
2017-06-13 00:00:00 UTC,6.6693795031818024e+16,8.336724378977252e+17,7.669786428659073e+17,2.3342828261136307e+17,4.3350966770681715e+17,2.667751801272721e+17,2.0008138509545408e+17,2.3342828261136307e+17,3.3346897515909012e+16,4.6685656522272614e+17,,1.3338759006363605e+17,7.002848478340892e+17,3.334689751590901e+17,3.3346897515909012e+16
2017-06-14 00:00:00 UTC,6.741169542809771e+16,7.752344974231237e+17,6.74116954280977e+17,4.3817602028263514e+17,3.033526294264397e+17,2.0223508628429315e+17,6.741169542809771e+16,1.6852923857024426e+17,6.741169542809771e+16,4.044701725685863e+17,1.3482339085619542e+17,3.033526294264397e+17,6.404111065669283e+17,3.707643248545374e+17,1.0111754314214656e+17
2017-06-15 00:00:00 UTC,1.6790801134855034e+17,9.738664658215919e+17,5.03724034045651e+17,5.373056363153611e+17,4.701424317759409e+17,1.6790801134855034e+17,1.007448068091302e+17,2.3507121588797046e+17,1.3432640907884027e+17,4.365608295062309e+17,1.007448068091302e+17,2.014896136182604e+17,8.059584544730417e+17,2.3507121588797046e+17,6.7163204539420136e+16
2017-06-16 00:00:00 UTC,1.018144265230958e+17,8.82391696533497e+17,9.163298387078621e+17,3.393814217436527e+17,8.145154121847665e+17,1.6969071087182634e+17,6.7876284348730536e+16,2.036288530461916e+17,6.7876284348730536e+16,1.6969071087182634e+17,6.7876284348730536e+16,1.3575256869746107e+17,6.787628434873053e+17,2.375669952205569e+17,1.6969071087182634e+17
2017-06-17 00:00:00 UTC,6.8213319982207176e+16,9.208798197597969e+17,6.139198798398646e+17,3.4106659991103584e+17,2.728532799288287e+17,2.3874661993772512e+17,2.728532799288287e+17,2.046399599466215e+17,3.4106659991103588e+16,5.79813219848761e+17,1.0231997997331075e+17,2.728532799288287e+17,6.821331998220717e+17,2.046399599466215e+17,1.3642663996441434e+17
2017-06-18 00:00:00 UTC,1.0455077610800731e+17,4.530533631346984e+17,5.924543979453747e+17,6.621549153507131e+17,4.1820310443202925e+17,3.48502587026691e+17,3.4850258702669104e+16,3.48502587026691e+17,6.970051740533821e+16,4.1820310443202925e+17,1.0455077610800731e+17,1.3940103481067642e+17,9.409569849720659e+17,3.1365232832402195e+17,1.0455077610800731e+17
2017-06-19 00:00:00 UTC,7.048646845019385e+16,9.163240898525201e+17,8.810808556274231e+17,4.5816204492626003e+17,4.934052791513569e+17,3.171891080258723e+17,2.1145940535058154e+17,2.4670263957567846e+17,7.048646845019385e+16,3.171891080258723e+17,1.0572970267529077e+17,2.4670263957567846e+17,5.991349818266477e+17,3.876755764760661e+17,7.048646845019385e+16
2017-06-20 00:00:00 UTC,1.7678689855706688e+17,8.839344927853345e+17,7.778623536510943e+17,2.4750165797989366e+17,3.5357379711413376e+17,1.0607213913424014e+17,1.0607213913424014e+17,7.071475942282677e+16,1.4142951884565354e+17,3.8893117682554714e+17,1.4142951884565354e+17,2.121442782684803e+17,9.546492522081613e+17,2.121442782684803e+17,1.4142951884565354e+17
2017-06-21 00:00:00 UTC,1.0489880429235446e+17,1.0489880429235446e+18,7.692578981439328e+17,4.8952775336432083e+17,1.7483134048725744e+17,1.7483134048725744e+17,3.496626809745149e+17,1.3986507238980595e+17,1.0489880429235446e+17,3.846289490719664e+17,1.0489880429235446e+17,2.4476387668216042e+17,6.293928257541267e+17,1.0489880429235446e+17,1.0489880429235446e+17
2017-06-22 00:00:00 UTC,7.066571552642662e+16,8.833214440803328e+17,6.713242975010529e+17,4.2399429315855974e+17,2.826628621057065e+17,3.179957198689198e+17,1.7666428881606656e+17,1.0599857328963994e+17,1.4133143105285325e+17,6.713242975010529e+17,3.533285776321331e+16,1.7666428881606656e+17,5.65325724211413e+17,2.1199714657927987e+17,1.7666428881606656e+17
2017-06-23 00:00:00 UTC,7.244605007492013e+16,9.417986509739617e+17,9.055756259365016e+17,3.6223025037460064e+17,5.071223505244408e+17,2.173381502247604e+17,2.897842002996805e+17,7.244605007492013e+16,7.244605007492013e+16,5.433453755619009e+17,1.086690751123802e+17,4.346763004495208e+17,8.693526008990415e+17,2.173381502247604e+17,1.8111512518730032e+17
